54	31	19	88	45	50	2	24
22	18	12	40	75	24	34	72
62	69	50	20	65	8	48	31
42	88	68	71	31	96	46	10
86	24	38	30	39	51	69	5
97	18	21	54	50	61	95	23
10	55	17	16	23	50	23	32
79	77	31	93	92	67	23	87
37	69	32	82	31	95	68	89
29	73	48	90	41	1	30	81
54	85	71	69	95	39	27	12
31	33	29	71	86	60	9	37
12	26	2	80	46	32	82	98
31	67	71	33	34	30	61	54
65	50	65	56	26	33	84	13
72	97	20	80	26	21	3	8
86	32	41	46	60	51	5	81
81	32	18	63	15	97	60	32
22	11	28	22	11	7	11	11
51	49	92	71	84	98	39	62
32	40	23	83	72	89	18	80
70	81	82	43	22	77	38	51
67	58	23	8	35	51	31	82
15	6	89	79	80	18	87	31
68	54	76	26	64	66	44	20
16	69	68	76	84	27	40	37
5	88	70	98	86	67	8	36
60	83	34	19	46	45	15	47
21	88	39	66	4	57	29	57
9	16	53	8	66	20	48	20
10	50	6	28	90	81	31	5
16	10	45	11	75	22	34	17
90	22	93	33	17	65	67	42
62	22	70	36	65	34	83	54
20	2	56	84	23	6	33	80
76	46	28	60	77	71	96	92
33	99	11	45	21	37	47	95
53	21	16	25	46	41	11	82
17	47	3	64	70	65	63	74
78	55	80	86	87	3	20	5
38	28	94	61	23	59	34	52
25	94	91	97	82	81	41	19
11	24	8	70	19	5	46	34
84	72	90	2	12	8	63	98
93	21	87	81	45	67	1	16
93	38	39	69	75	89	87	45
91	62	93	30	14	2	60	88
42	40	65	99	36	1	90	28
89	24	96	14	5	35	19	50
62	40	67	47	96	75	98	49
40	55	81	49	20	99	94	61
23	57	37	10	16	29	84	80
15	94	94	15	94	94	15	15
67	55	43	80	86	33	75	5
40	74	78	8	98	52	98	31
11	22	63	32	95	9	22	55
2	42	42	28	97	36	99	54
26	74	36	3	54	34	10	89
92	65	38	55	84	32	56	60
50	25	61	92	15	49	72	61
69	66	98	5	75	57	58	26
15	52	81	33	29	50	98	34
8	59	27	85	92	83	55	31
89	53	75	64	43	57	80	86
53	39	84	23	50	16	47	6
41	60	61	92	86	83	81	24
97	76	16	77	93	19	75	38
29	56	54	13	57	63	96	47
91	22	17	18	31	59	40	44
43	75	76	85	58	99	74	27
70	93	24	64	40	57	4	12
53	72	13	94	72	13	86	53
34	76	27	52	63	29	16	70
89	14	21	92	17	18	62	11
75	94	98	30	91	52	92	65
91	60	9	44	61	46	60	82
89	25	64	10	7	15	18	52
25	81	75	76	4	7	53	26
38	55	37	23	34	98	77	31
74	70	52	41	56	16	1	73
99	51	26	72	25	39	16	19
70	34	1	99	55	79	84	35
84	18	74	73	90	72	8	64
89	92	36	69	3	2	79	58
78	25	83	86	67	3	31	30
81	37	92	56	78	19	41	50
6	63	28	78	18	94	11	53
94	19	92	2	75	39	38	2
40	62	79	33	21	30	62	33
13	96	88	77	55	72	98	95
17	19	16	57	32	87	36	24
8	38	63	36	93	68	35	57
88	10	38	42	95	16	10	17
44	4	42	17	97	1	16	93
43	23	26	3	18	36	88	14
23	17	13	72	40	27	80	5
45	36	95	30	58	68	57	11
76	4	89	40	15	17	1	85
74	92	25	58	33	55	80	93
43	48	2	58	52	70	47	14
53	84	17	72	65	94	96	51
66	61	26	77	2	70	17	75
29	36	74	33	25	6	24	28
96	98	63	68	92	14	77	71
92	10	71	16	83	63	14	32
38	42	34	16	19	67	71	57
73	82	12	53	23	56	51	59
18	30	3	64	53	77	57	68
20	20	68	47	87	9	74	7
36	8	49	13	54	70	97	25
37	90	61	78	28	23	1	35
83	50	97	18	6	85	20	58
79	25	89	61	19	13	32	34
29	26	7	89	97	61	31	2
68	40	78	67	22	6	98	89
4	29	43	21	35	58	11	53
23	45	42	20	35	54	92	98
16	38	22	97	87	55	97	44
12	68	90	4	50	19	14	1
35	36	96	39	56	32	51	50
37	55	79	16	7	22	62	26
27	83	23	96	36	11	37	51
9	93	90	19	45	37	52	50
14	96	5	65	61	2	76	41
36	78	22	51	37	96	77	44
92	89	53	89	98	44	45	58
24	40	66	86	34	77	82	9
32	8	77	60	2	53	40	32
16	91	59	30	44	97	37	59
59	90	94	34	74	31	95	55
8	95	3	53	11	66	91	74
74	19	80	9	49	4	34	25
83	18	32	59	2	48	51	85
19	21	1	21	91	42	50	85
16	63	10	6	37	28	63	75
72	89	7	16	20	69	85	72
59	1	17	86	86	50	65	42
52	39	90	79	55	41	22	9
68	44	30	8	95	38	81	97
66	85	74	29	82	9	70	40
6	89	67	61	18	34	10	36
80	38	65	43	93	68	70	6
86	71	41	88	90	63	52	77
43	93	1	47	50	97	60	38
62	42	36	25	93	72	55	88
82	83	77	19	11	49	64	94
84	93	37	59	78	46	81	94
29	29	58	30	24	43	12	95
60	79	68	10	29	28	54	53
10	34	14	46	77	66	21	19
13	26	25	55	72	26	10	83
27	56	93	72	67	56	57	73
41	57	15	96	92	27	49	66
86	56	19	12	40	42	85	46
38	7	52	20	16	11	69	67
14	45	3	38	66	42	14	86
63	21	92	71	40	97	11	87
71	70	50	49	21	87	51	21
43	14	71	47	61	12	89	33
6	90	73	67	23	29	22	4
96	56	63	99	64	18	1	60
36	62	54	17	14	12	87	63
70	98	72	45	23	1	3	99
32	59	25	10	15	97	95	69
68	12	42	2	20	44	73	65
91	44	83	77	13	67	64	92
2	92	54	66	51	24	61	68
61	71	79	23	60	90	11	78
26	41	27	54	85	33	82	84
90	93	92	9	32	49	74	75
65	36	79	81	59	13	44	56
88	77	14	47	40	66	59	1
58	52	88	51	47	68	46	65
54	23	89	19	30	45	20	63
13	89	21	64	85	49	65	57
89	16	3	56	1	96	54	41
61	92	46	95	71	6	73	63
45	54	6	21	38	47	52	32
7	22	33	71	38	77	60	90
71	40	14	23	24	44	45	19
90	11	46	3	59	14	81	23
12	4	48	37	36	57	40	86
13	42	17	66	9	95	79	54
41	4	90	72	8	84	83	54
50	25	16	90	44	12	76	53
18	52	76	21	64	88	17	50
69	80	32	68	88	3	49	57
44	50	99	93	68	32	14	21
21	98	70	94	27	26	42	80
41	66	62	9	79	21	50	68
31	66	22	6	47	89	49	72
82	21	27	84	30	99	53	45
8	11	70	13	4	58	41	9
86	25	78	12	78	53	24	3
78	44	68	21	3	3	2	32
31	81	63	7	72	59	37	12
68	38	17	58	41	39	76	29
85	62	4	47	42	22	92	25
50	63	82	14	16	61	94	20
19	50	11	32	32	19	2	99
34	99	50	1	90	58	49	74
